Producer,Model,Country,Year,Price in Germany,Battery (kilowatt-hours),Efficiency (watt-hours per kilometer),Fast_charge,Range,Top_speed,Segment
Porsche,Porsche Taycan 4 Cross Turismo,Germany,2021,103254.0,83.7,190,1080.0,440,220,Luxury
Elaris,Elaris BEO 86 kWh,China,2023,53090.0,81.0,208,290.0,390,150,Large
Mercedes-Benz,Mercedes-Benz EQS SUV 450 4MATIC,Germany,2023,114609.0,108.4,221,730.0,490,210,Luxury
Nissan,Nissan Ariya e-4ORCE 87kWh - 290 kW,Japan,2022,71490.0,87.0,215,480.0,405,200,Medium
Opel,Opel Vivaro-e Combi M 75 kWh,Germany,2021,56942.0,68.0,257,290.0,265,130,Passenger Van
Audi,Audi Q4 Sportback e-tron 50 quattro,Germany,2023,59900.0,76.6,192,570.0,400,180,Medium
ORA,ORA Funky Cat GT,China,2023,49490.0,59.3,180,230.0,330,160,Medium
Mercedes-Benz,Mercedes-Benz EQE SUV 300,Germany,2023,83479.0,90.6,201,570.0,450,210,Executive
Audi,Audi SQ8 e-tron Sportback,Germany,2023,98050.0,106.0,221,610.0,480,210,Executive
Audi,Audi Q4 Sportback e-tron 45 quattro,Germany,2024,56950.0,77.0,186,620.0,415,180,Medium
XPENG,XPENG P7 AWD Performance,China,2022,58600.0,82.7,180,640.0,460,200,Executive
Smart,Smart #1 Pulse,China,2023,46490.0,62.0,194,490.0,320,180,Compact
Toyota,Toyota Proace City Verso Electric L1 50 kWh,Japan,2022,37800.0,46.3,220,330.0,210,135,Passenger Van
Skoda,Skoda Enyaq Coupe 60,Czech Republic,2024,46850.0,58.0,163,480.0,355,160,Medium
Fiat,Fiat 500e Cabrio 42 kWh,Italy,2020,37990.0,37.3,162,380.0,230,150,Compact
Mercedes-Benz,Mercedes-Benz EQE SUV AMG 43 4MATIC,Germany,2023,124920.0,90.6,218,620.0,415,210,Executive
Toyota,Toyota PROACE Verso M 75 kWh,Japan,2022,64530.0,68.0,257,290.0,265,130,Passenger Van
Toyota,Toyota Proace City Verso Electric L2 50 kWh,Japan,2024,40150.0,46.3,226,330.0,205,135,Passenger Van
Porsche,Porsche Taycan 4S,Germany,2020,114559.0,71.0,171,1020.0,415,250,Luxury
VinFast,VinFast VF 8 Eco Extended Range,Vietnam,2023,52990.0,87.7,206,550.0,425,200,Large
Mercedes-Benz,Mercedes-Benz EQE AMG 43 4MATIC,Germany,2023,104756.0,90.6,195,690.0,465,210,Executive
Mercedes-Benz,Mercedes-Benz EQA 300 4MATIC,Germany,2021,53520.0,66.5,187,510.0,355,160,Medium
Fiat,Fiat 500e 3+1 24 kWh,Italy,2021,30990.0,21.3,158,230.0,135,135,Compact
Citroen,Citroen e-SpaceTourer M 50 kWh,France,2021,53640.0,46.3,250,290.0,185,130,Passenger Van
Abarth,Abarth 500e Hatchback,Italy,2024,37990.0,37.8,168,370.0,225,155,Compact
Mercedes-Benz,Mercedes-Benz EQE SUV AMG 53 4MATIC+,Germany,2023,139438.0,90.6,221,610.0,410,240,Executive
Opel,Opel Zafira-e Life L 75 kWh,Germany,2021,70075.0,68.0,262,280.0,260,130,Passenger Van
Aiways,Aiways U6,China,2023,47588.0,60.0,171,430.0,350,160,Medium
Toyota,Toyota PROACE Verso L 75 kWh,Japan,2022,65385.0,68.0,262,280.0,260,130,Passenger Van
NIO,NIO EL6 Long Range,China,2024,65500.0,70.5,201,470.0,350,200,Executive
Kia,Kia e-Soul 39.2 kWh,South Korea,2019,40290.0,39.2,170,200.0,230,157,Compact
Opel,Opel Combo-e Life 50 kWh,Germany,2024,43050.0,46.3,226,330.0,205,135,Passenger Van
Citroen,Citroen e-Jumpy Combi M 75 kWh,France,2021,57940.0,68.0,257,290.0,265,130,Passenger Van
Mercedes-Benz,Mercedes-Benz EQE AMG 53 4MATIC+,Germany,2023,110706.0,90.6,195,690.0,465,220,Executive
Mercedes-Benz,Mercedes-Benz eVito Tourer Extra-Long 90 kWh,Germany,2020,65140.0,90.0,295,310.0,305,160,Passenger Van
Porsche,Porsche Taycan Turbo,Germany,2020,164420.0,83.7,188,1090.0,445,260,Luxury
Peugeot,Peugeot e-Expert Combi Standard 75 kWh,France,2021,57940.0,68.0,257,290.0,265,130,Passenger Van
Peugeot,Peugeot e-Rifter Standard 50 kWh,France,2024,41240.0,46.3,226,330.0,205,135,Passenger Van
Peugeot,Peugeot e-Traveller Long 75 kWh,France,2024,60430.0,68.0,262,280.0,260,130,Passenger Van
Genesis,Genesis GV60 Sport,South Korea,2022,63200.0,74.0,195,990.0,380,200,Medium
Porsche,Porsche Taycan 4S Cross Turismo,Germany,2021,119914.0,83.7,190,1080.0,440,240,Luxury
VinFast,VinFast VF 8 Plus Extended Range,Vietnam,2023,58890.0,87.7,206,550.0,425,200,Large
Porsche,Porsche Taycan Sport Turismo,Germany,2022,94091.0,71.0,187,930.0,380,230,Luxury
Mercedes-Benz,Mercedes-Benz EQV 250 Long,Germany,2023,68056.0,60.0,286,200.0,210,160,Passenger Van
Mercedes-Benz,Mercedes-Benz EQV 300 Extra-Long,Germany,2023,72519.0,90.0,290,310.0,310,160,Passenger Van
Mercedes-Benz,Mercedes-Benz eVito Tourer Long 60 kWh,Germany,2020,60678.0,60.0,286,310.0,210,160,Passenger Van
Abarth,Abarth 500e Convertible,Italy,2023,40990.0,37.8,168,370.0,225,155,Compact
Genesis,Genesis GV60 Sport Plus,South Korea,2023,73100.0,74.0,203,950.0,365,235,Medium
Mini,Mini Cooper SE Convertible,Great Britain,2024,60000.0,28.9,175,230.0,165,150,Compact
Citroen,Citroen e-SpaceTourer M 75 kWh,France,2021,59640.0,68.0,257,290.0,265,130,Passenger Van
NIO,NIO EL7 Standard Range,China,2022,85900.0,70.5,207,460.0,340,200,Luxury
Peugeot,Peugeot e-Traveller Standard 75 kWh,France,2024,59640.0,68.0,257,290.0,265,130,Passenger Van
Peugeot,Peugeot e-Traveller Standard 50 kWh,France,2021,53640.0,46.3,250,290.0,185,130,Passenger Van
Porsche,Porsche Taycan GTS Sport Turismo,Germany,2024,140858.0,83.7,197,1050.0,425,250,Luxury
Porsche,Porsche Taycan Turbo Cross Turismo,Germany,2021,165848.0,83.7,197,1050.0,425,250,Luxury
Peugeot,Peugeot e-Expert Combi Long 75 kWh,France,2022,58730.0,68.0,262,280.0,260,130,Passenger Van
Fiat,Fiat E-Ulysse L3 75 kWh,Italy,2024,62990.0,68.0,262,280.0,260,130,Passenger Van
Citroen,Citroen e-SpaceTourer XL 50 kWh,France,2021,54430.0,46.3,257,290.0,180,130,Passenger Van
Porsche,Porsche Taycan Turbo S Cross Turismo,Germany,2022,199168.0,83.7,204,1010.0,410,250,Luxury
Citroen,Citroen e-Berlingo XL 50 kWh,France,2021,43640.0,46.3,226,330.0,205,135,Passenger Van
Fiat,Fiat 500e Cabrio 24 kWh,Italy,2020,35490.0,21.3,158,230.0,135,135,Compact
Porsche,Porsche Taycan Plus Sport Turismo,Germany,2022,99815.0,83.7,188,1090.0,445,230,Luxury
Toyota,Toyota PROACE Shuttle M 75 kWh,Japan,2022,60095.0,68.0,257,290.0,265,130,Passenger Van
Toyota,Toyota PROACE Shuttle L 50 kWh,Japan,2024,68595.0,46.3,257,290.0,180,130,Passenger Van
Porsche,Porsche Taycan Turbo S Sport Turismo,Germany,2022,198692.0,83.7,212,970.0,395,260,Luxury
Citroen,Citroen e-SpaceTourer XL 75 kWh,France,2024,60430.0,68.0,262,280.0,260,130,Passenger Van
Citroen,Citroen e-Jumpy Combi M 50 kWh,France,2024,51940.0,46.3,250,290.0,185,130,Passenger Van
Opel,Opel Zafira-e Life M 50 kWh,Germany,2021,63250.0,46.3,250,290.0,185,130,Passenger Van
Toyota,Toyota PROACE Shuttle L 75 kWh,Japan,2022,69795.0,68.0,262,280.0,260,130,Passenger Van
Citroen,Citroen e-Jumpy Combi XL 75 kWh,France,2021,58730.0,68.0,262,280.0,260,130,Passenger Van
Porsche,Porsche Taycan 4S Plus Sport Turismo,Germany,2022,120081.0,83.7,195,1060.0,430,250,Luxury
Opel,Opel Combo-e Life XL 50 kWh,Germany,2024,44750.0,46.3,232,320.0,200,135,Passenger Van
Toyota,Toyota PROACE Shuttle M 50 kWh,Japan,2022,58895.0,46.3,250,290.0,185,130,Passenger Van
Porsche,Porsche Taycan 4S Sport Turismo,Germany,2022,114559.0,71.0,192,910.0,370,250,Luxury
Peugeot,Peugeot e-Expert Combi Standard 50 kWh,France,2024,51940.0,46.3,250,290.0,185,130,Passenger Van
Mercedes-Benz,Mercedes-Benz eVito Tourer Extra-Long 60 kWh,Germany,2021,61571.0,60.0,293,300.0,205,160,Passenger Van
Peugeot,Peugeot e-Traveller Long 50 kWh,France,2021,54430.0,46.3,250,290.0,185,130,Passenger Van
Fiat,Fiat E-Ulysse L2 75 kWh,Italy,2022,61990.0,68.0,257,290.0,265,130,Passenger Van
Porsche,Porsche Taycan Turbo Sport Turismo,Germany,2022,165372.0,83.7,207,1000.0,405,260,Luxury
Mercedes-Benz,Mercedes-Benz EQV 250 Extra-Long,Germany,2022,68949.0,60.0,286,200.0,210,160,Passenger Van
Opel,Opel Vivaro-e Combi L 75 kWh,Germany,2024,57775.0,68.0,262,280.0,260,130,Passenger Van
Opel,Opel Vivaro-e Combi M 50 kWh,Germany,2021,50992.0,46.3,250,290.0,185,130,Passenger Van
Opel,Opel Zafira-e Life L 50 kWh,Germany,2021,64075.0,46.3,257,290.0,180,130,Passenger Van
Peugeot,Peugeot e-Expert Combi Long 50 kWh,France,2021,52730.0,46.3,250,290.0,185,130,Passenger Van
Citroen,Citroen e-Jumpy Combi XL 50 kWh,France,2024,52730.0,46.3,257,290.0,180,130,Passenger Van
Fiat,Fiat E-Ulysse L2 50 kWh,Italy,2022,55990.0,46.3,250,290.0,185,130,Passenger Van
Opel,Opel Vivaro-e Combi L 50 kWh,Germany,2021,51825.0,46.3,257,290.0,180,130,Passenger Van
Opel,Opel Zafira-e Life M 75 kWh,Germany,2021,69250.0,68.0,257,290.0,265,130,Passenger Van
Fiat,Fiat E-Ulysse L3 50 kWh,Italy,2024,56990.0,46.3,257,290.0,180,130,Passenger Van
